tweet_cleaned,tweet_favorite_count,tweet_geo,tweet_hashtags,tweet_id,tweet_lang,tweet_place,tweet_retweet_count,tweet_text,tweet_time,tweet_tokens,tweet_type,tweet_user_mention_ids,tweet_user_mentions,user,user_favourites_count,user_followers_count,user_friends_count,user_id,user_location,user_screen_name,user_statuses_count,user_vintage,sentiment,sentiment_class
There is a world of miracles Get out there and WidenYourWorld TurkishAirlines SuperBowl,0,,"['WidenYourWorld', 'TurkishAirlines', 'SuperBowl']",972814354151297024,en,,981,"RT @TurkishAirlines: 🌍✈️
There is a world of miracles. Get out there and #WidenYourWorld
 
#TurkishAirlines #SuperBowl @DrOz https://t.co/7…",Sun Mar 11 12:39:50 +0000 2018,"['there', 'world', 'miracles', 'get', 'widenyourworld', 'turkishairlines', 'superbowl']",retweet,"[18909186, 38531995]","['TurkishAirlines', 'DrOz']",Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.6981392502784729,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972814261675266048,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 12:39:28 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Mustafa Deniz Gül,22014,968,793,577170536,Sverige,mdg_85,10944,Fri May 11 14:17:09 +0000 2012,0.5702117681503296,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972814235637026816,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 12:39:22 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Therealnin,1621,0,10,938361961758240768,,Therealnin2,3955,Wed Dec 06 10:58:20 +0000 2017,0.5702117681503296,positive
BeastFromTheEast DublinAirport Dublin turkishairli,0,,"['BeastFromTheEast', 'DublinAirport', 'Dublin']",972812596582731776,en,,107,"RT @ronip: Landing in Dublin! Or is it Antarctica? 😯 @DublinAirport @TurkishAirlines
#BeastFromTheEast
#DublinAirport #Dublin #turkishairli…",Sun Mar 11 12:32:51 +0000 2018,"['beastfromtheeast', 'dublinairport', 'dublin', 'turkishairli']",retweet,"[17940851, 179569408, 18909186]","['ronip', 'DublinAirport', 'TurkishAirlines']",Waldemar Walth,7758,43,849,782265632985415680,,waldemar_walth,9394,Sat Oct 01 17:07:15 +0000 2016,0.2935984134674072,positive
,0,,"['Reise', 'Köstlichkeiten', 'FlyingChefs']",972812344387690496,de,,2,RT @TK_DEU: Wir nehmen Ihre Sinne mit auf eine einzigartige #Reise. Lassen Sie sich von den #Köstlichkeiten unserer #FlyingChefs verzaubern…,Sun Mar 11 12:31:51 +0000 2018,[],retweet,[1070242453],['TK_DEU'],Waldemar Walth,7758,43,849,782265632985415680,,waldemar_walth,9394,Sat Oct 01 17:07:15 +0000 2016,0.27516186237335205,positive
We have continuously been inspired by all the women who left their mark on aviation and our lives Happy Internat,0,,[],972811934759309312,en,,80,"RT @TurkishAirlines: ✈️👩🏻
We have continuously been inspired by all the women who left their mark on aviation and our lives. Happy Internat…",Sun Mar 11 12:30:13 +0000 2018,"['we', 'continuously', 'inspired', 'women', 'left', 'mark', 'aviation', 'lives', 'happy', 'internat']",retweet,[18909186],['TurkishAirlines'],Waldemar Walth,7758,43,849,782265632985415680,,waldemar_walth,9394,Sat Oct 01 17:07:15 +0000 2016,0.9340474605560303,positive
Fly amp discover the colors of the sky TurkishAirlines,0,,['TurkishAirlines'],972811861791002624,en,,58,"RT @TurkishAirlines: ✈️
Fly &amp; discover the colors of the sky. 

#TurkishAirlines https://t.co/bASBXfx2m0",Sun Mar 11 12:29:56 +0000 2018,"['fly', 'discover', 'colors', 'sky', 'turkishairlines']",retweet,[18909186],['TurkishAirlines'],Waldemar Walth,7758,43,849,782265632985415680,,waldemar_walth,9394,Sat Oct 01 17:07:15 +0000 2016,0.4422566592693329,positive
EFSANE BOEING Boeing TURKISH AIRLINES is the BEST TurkishAirlines,0,"{'coordinates': [48.11968993, 16.56071], 'type': 'Point'}","['Boeing', 'TurkishAirlines']",972811804471574528,en,"{'url': 'https://api.twitter.com/1.1/geo/id/d62d58de815998db.json', 'country': 'Austria', 'bounding_box': {'coordinates': [[[16.4327106, 48.088982], [16.576842, 48.088982], [16.576842, 48.159012], [16.4327106, 48.159012]]], 'type': 'Polygon'}, 'contained_within': [], 'place_type': 'city', 'country_code': 'AT', 'full_name': 'Schwechat, Österreich', 'name': 'Schwechat', 'attributes': {}, 'id': 'd62d58de815998db'}",0,EFSANE : BOEING 737 . #Boeing #737 TURKISH AIRLINES is the BEST . #TurkishAirlines… https://t.co/R65OmfAw4E,Sun Mar 11 12:29:42 +0000 2018,"['efsane', 'boeing', 'boeing', 'turkish', 'airlines', 'best', 'turkishairlines']",user_tweet,[],[],sleep calm 80,2164,277,1580,62319122,Ankara,sleepcalm80,7872,Sun Aug 02 18:33:29 +0000 2009,0.5515731573104858,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972807082213826561,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 12:10:56 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],john o leary,399,96,977,414267663,,johnoleary8,3485,Wed Nov 16 21:02:49 +0000 2011,0.5702117681503296,positive
,0,,[],972806652700299264,tr,,4,RT @DunyayiGeziyor: Dünyayı Geziyorum şimdi saat 15.10'da Kanal7'de Mauritius Adasında. Mauritius 2 bölümü mükemmel görüntülerle sizi bekli…,Sun Mar 11 12:09:14 +0000 2018,[],retweet,[1141816867],['DunyayiGeziyor'],Yasin Esirgenç,1606,3700,35,523244339,"İstanbul, Turkiye",EsirgencYasin,10306,Tue Mar 13 13:16:00 +0000 2012,0.4135827422142029,positive
,0,,[],972806580679921665,tr,,4,RT @DunyayiGeziyor: Dünyayı Geziyorum şimdi saat 15.10'da Kanal7'de Mauritius Adasında. Mauritius 2 bölümü mükemmel görüntülerle sizi bekli…,Sun Mar 11 12:08:57 +0000 2018,[],retweet,[1141816867],['DunyayiGeziyor'],Dünyayı Geziyorum,1603,14126,17,1141816867,,DunyayiGeziyor,7328,Sat Feb 02 07:52:34 +0000 2013,0.4135827422142029,positive
D nyay Geziyorum imdi saat da Kanal de Mauritius Adas nda Mauritius b l m m kemmel g r nt lerle sizi b,7,,[],972806101824688130,tr,,4,Dünyayı Geziyorum şimdi saat 15.10'da Kanal7'de Mauritius Adasında. Mauritius 2 bölümü mükemmel görüntülerle sizi b… https://t.co/02rNmZeE63,Sun Mar 11 12:07:03 +0000 2018,"['d', 'nyay', 'geziyorum', 'imdi', 'saat', 'kanal', 'mauritius', 'adas', 'nda', 'mauritius', 'b', 'kemmel', 'g', 'r', 'nt', 'lerle', 'sizi', 'b']",user_tweet,[],[],Dünyayı Geziyorum,1603,14126,17,1141816867,,DunyayiGeziyor,7328,Sat Feb 02 07:52:34 +0000 2013,0.33850792050361633,positive
,0,,[],972805940780195841,tr,,4,RT @EsirgencYasin: Dünyayı Geziyorum azsonra saat 15.10'da Kanal7'de Mauritius Adasında. Mauritius 2 bölümü mükemmel görüntülerle sizi bekl…,Sun Mar 11 12:06:24 +0000 2018,[],retweet,[523244339],['EsirgencYasin'],Dünyayı Geziyorum,1603,14126,17,1141816867,,DunyayiGeziyor,7328,Sat Feb 02 07:52:34 +0000 2013,0.4252653419971466,positive
,0,,[],972805659191373824,tr,,4,RT @EsirgencYasin: Dünyayı Geziyorum azsonra saat 15.10'da Kanal7'de Mauritius Adasında. Mauritius 2 bölümü mükemmel görüntülerle sizi bekl…,Sun Mar 11 12:05:17 +0000 2018,[],retweet,[523244339],['EsirgencYasin'],Yasin Esirgenç,1606,3700,35,523244339,"İstanbul, Turkiye",EsirgencYasin,10306,Tue Mar 13 13:16:00 +0000 2012,0.4252653419971466,positive
D nyay Geziyorum azsonra saat da Kanal de Mauritius Adas nda Mauritius b l m m kemmel g r nt lerle sizi,7,,[],972805614073274368,tr,"{'url': 'https://api.twitter.com/1.1/geo/id/ee9d992aa12a6fa0.json', 'country': 'Republic of Mauritius', 'bounding_box': {'coordinates': [[[57.3083535, -20.5254982], [57.8229151, -20.5254982], [57.8229151, -19.9355533], [57.3083535, -19.9355533]]], 'type': 'Polygon'}, 'contained_within': [], 'place_type': 'country', 'country_code': 'MU', 'full_name': 'Republic of Mauritius', 'name': 'Republic of Mauritius', 'attributes': {}, 'id': 'ee9d992aa12a6fa0'}",4,Dünyayı Geziyorum azsonra saat 15.10'da Kanal7'de Mauritius Adasında. Mauritius 2 bölümü mükemmel görüntülerle sizi… https://t.co/6Rxem2RjDs,Sun Mar 11 12:05:06 +0000 2018,"['d', 'nyay', 'geziyorum', 'azsonra', 'saat', 'kanal', 'mauritius', 'adas', 'nda', 'mauritius', 'b', 'kemmel', 'g', 'r', 'nt', 'lerle', 'sizi']",user_tweet,[],[],Yasin Esirgenç,1606,3700,35,523244339,"İstanbul, Turkiye",EsirgencYasin,10306,Tue Mar 13 13:16:00 +0000 2012,0.3833441138267517,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972787999929847809,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 10:55:07 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Vicky Ji,11646,274,299,912485743586504704,,VickyJi80917886,11429,Tue Sep 26 01:15:29 +0000 2017,0.5702117681503296,positive
turkishairlines,0,,['turkishairlines'],972782996724985857,ja,,106,"RT @Mariakko2010: 今回のイスタンブールへのフライトはトルコ航空。ビジネスクラスはフルフラットで座席にお布団みたいなのを敷いてくれます。起きたときに機内だということを忘れていたくらい、寝心地最高でした！笑
#turkishairlines https://t.c…",Sun Mar 11 10:35:14 +0000 2018,['turkishairlines'],retweet,[163797366],['Mariakko2010'],トコトコ,30354,115,825,457444213,,7647Run,85765,Sat Jan 07 12:18:51 +0000 2012,0.17379844188690186,neutral
turkishairlines,0,,['turkishairlines'],972781892465410048,ja,,106,"RT @Mariakko2010: 今回のイスタンブールへのフライトはトルコ航空。ビジネスクラスはフルフラットで座席にお布団みたいなのを敷いてくれます。起きたときに機内だということを忘れていたくらい、寝心地最高でした！笑
#turkishairlines https://t.c…",Sun Mar 11 10:30:51 +0000 2018,['turkishairlines'],retweet,[163797366],['Mariakko2010'],あつこ,76252,1105,1350,344761866,,himeroad,200547,Fri Jul 29 15:05:44 +0000 2011,0.17379844188690186,neutral
Fly amp discover the colors of the sky TurkishAirlines,0,,['TurkishAirlines'],972776209397485568,en,,58,"RT @TurkishAirlines: ✈️
Fly &amp; discover the colors of the sky. 

#TurkishAirlines https://t.co/bASBXfx2m0",Sun Mar 11 10:08:16 +0000 2018,"['fly', 'discover', 'colors', 'sky', 'turkishairlines']",retweet,[18909186],['TurkishAirlines'],Navigato,302,231,300,3288076966,Bulgaria,navigato_io,229,Mon May 18 07:06:44 +0000 2015,0.4422566592693329,positive
Influence of tahirshah on turkishairlines Wao inflight entertainment hahahha eye eye,0,,"['tahirshah', 'turkishairlines', 'eye2eye']",972774267464179712,en,,0,"Influence of #tahirshah on #turkishairlines... Wao, inflight entertainment hahahha  #eye2eye 🤣🤣🤣😂😂😵👏🏼👏🏼 https://t.co/3Oq78DtjE7",Sun Mar 11 10:00:33 +0000 2018,"['influence', 'tahirshah', 'turkishairlines', 'wao', 'inflight', 'entertainment', 'hahahha', 'eye', 'eye']",user_tweet,[],[],Hammad Majeed,232,56,69,2160744509,"Trondheim, Norway",Hammad_Majeed1,895,Wed Oct 30 19:18:24 +0000 2013,0.4977729022502899,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972773074574696448,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 09:55:48 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],🎯battacio🎯,4526,732,2423,2387062759,,battacio,23494,Thu Mar 13 14:05:31 +0000 2014,0.5702117681503296,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972771043675983873,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 09:47:44 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],look at this,11534,865,1009,2706137984,,lookatwhat,9250,Mon Aug 04 09:28:43 +0000 2014,0.5702117681503296,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972766497939505153,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 09:29:40 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Ramnivas,8418,172,20,960427165618651136,Kuchaman City,Ramniva61549036,8567,Mon Feb 05 08:17:34 +0000 2018,0.5702117681503296,positive
How to waste the time Learn from TurkishAirlines go round amp round amp round Timepass,0,,"['TurkishAirlines', 'Timepass']",972765719183220737,en,,0,How to waste the time... Learn from #TurkishAirlines... go round &amp; round &amp; round... #Timepass https://t.co/v6rpphsh9m,Sun Mar 11 09:26:35 +0000 2018,"['how', 'waste', 'time', 'learn', 'turkishairlines', 'go', 'round', 'round', 'round', 'timepass']",user_tweet,[],[],Neeraj Kumar Singal,85090,7673,7735,28149588,"New Delhi, NYC, Dubai",nksingal,22014,Wed Apr 01 17:29:51 +0000 2009,-0.14616252481937408,neutral
There is a world of miracles Get out there and WidenYourWorld TurkishAirlines SuperBowl,0,,"['WidenYourWorld', 'TurkishAirlines', 'SuperBowl']",972765182786179073,en,,981,"RT @TurkishAirlines: 🌍✈️
There is a world of miracles. Get out there and #WidenYourWorld
 
#TurkishAirlines #SuperBowl @DrOz https://t.co/7…",Sun Mar 11 09:24:27 +0000 2018,"['there', 'world', 'miracles', 'get', 'widenyourworld', 'turkishairlines', 'superbowl']",retweet,"[18909186, 38531995]","['TurkishAirlines', 'DrOz']",AUGUSTUS  HOBLAK .Dr,775,125,340,862758395933282305,"New York, USA",hoprealisw1,817,Thu May 11 19:56:45 +0000 2017,0.6981392502784729,positive
Fly amp discover the colors of the sky TurkishAirlines,0,,['TurkishAirlines'],972764266184036352,en,,58,"RT @TurkishAirlines: ✈️
Fly &amp; discover the colors of the sky. 

#TurkishAirlines https://t.co/bASBXfx2m0",Sun Mar 11 09:20:48 +0000 2018,"['fly', 'discover', 'colors', 'sky', 'turkishairlines']",retweet,[18909186],['TurkishAirlines'],Lukas Rydhage,47769,263,142,550392008,,lukasrydhage,15628,Tue Apr 10 19:48:30 +0000 2012,0.4422566592693329,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972763990815207424,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 09:19:43 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Chanaram Panwar,342,16,82,970352420617244672,"पिपर शहर, भारत",ChanaramP,348,Sun Mar 04 17:37:00 +0000 2018,0.5702117681503296,positive
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972762705957355521,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 09:14:36 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Lenin the Russian Hitler,134,71,41,3314949711,,mkv19760625,215,Tue Jun 09 13:34:28 +0000 2015,0.5702117681503296,positive
turkishairlines,0,,['turkishairlines'],972754065993035782,ja,,106,"RT @Mariakko2010: 今回のイスタンブールへのフライトはトルコ航空。ビジネスクラスはフルフラットで座席にお布団みたいなのを敷いてくれます。起きたときに機内だということを忘れていたくらい、寝心地最高でした！笑
#turkishairlines https://t.c…",Sun Mar 11 08:40:16 +0000 2018,['turkishairlines'],retweet,[163797366],['Mariakko2010'],Omer Wilson (奥马尔),9750,1216,1999,173469847,Singapore* - London - Istanbul,omer_wilson,10236,Sun Aug 01 15:18:09 +0000 2010,0.17379844188690186,neutral
ht,0,,"['TurkishAirlines', 'Istanbul', 'Dubai']",972753857343315974,en,,11,"RT @Arab_News: #TurkishAirlines to buy at least 50 Airbus and Boeing planes as #Istanbul airport takes on #Dubai
https://t.co/d1lwlg56tS ht…",Sun Mar 11 08:39:27 +0000 2018,['ht'],retweet,[69172612],['Arab_News'],Saul,177,47,87,153724992,,saulat_kalim,904,Wed Jun 09 08:37:42 +0000 2010,-0.030261728912591934,neutral
Go live up in the sky above the fairy city of Cappadocia GoBeyond and live your dreams,0,,['GoBeyond'],972753832559239168,en,,100,"RT @TurkishAirlines: ✈️
Go live up in the sky above the fairy city of Cappadocia - #GoBeyond and live your dreams!

🔎https://t.co/XLEKfc3tm…",Sun Mar 11 08:39:21 +0000 2018,"['go', 'sky', 'fairy', 'city', 'cappadocia', 'gobeyond', 'dreams']",retweet,[18909186],['TurkishAirlines'],Rahul,9311,161,47,932581395649761281,Sat Saheb ji,Rahul73424136,9288,Mon Nov 20 12:08:26 +0000 2017,0.5702117681503296,positive
Fly amp discover the colors of the sky TurkishAirlines,0,,['TurkishAirlines'],972753549645008896,en,,58,"RT @TurkishAirlines: ✈️
Fly &amp; discover the colors of the sky. 

#TurkishAirlines https://t.co/bASBXfx2m0",Sun Mar 11 08:38:13 +0000 2018,"['fly', 'discover', 'colors', 'sky', 'turkishairlines']",retweet,[18909186],['TurkishAirlines'],😮,2,1,14,968969958389673985,,hHsikKZbehj1bj8,63,Wed Feb 28 22:03:35 +0000 2018,0.4422566592693329,positive
TurkishAirlines pr voit d acheter au moins appareils Boeing et Airbus,1,,"['TurkishAirlines', 'Boeing', 'Airbus']",972751649101041664,fr,,1,#TurkishAirlines prévoit d'acheter au moins 50 appareils à #Boeing et #Airbus https://t.co/ppqfb3lcaB… https://t.co/p4BQjXilE3,Sun Mar 11 08:30:40 +0000 2018,"['turkishairlines', 'pr', 'voit', 'acheter', 'moins', 'appareils', 'boeing', 'airbus']",user_tweet,[],[],Gunel Ibrahimova,2105,1089,542,4462248196,"baku, Az",Ibrahimova_GNL,22414,Sat Dec 12 18:54:52 +0000 2015,0.13590891659259796,neutral
TurkishAirlines supper partner,0,,['TurkishAirlines'],972749012918067202,en,"{'url': 'https://api.twitter.com/1.1/geo/id/2e09439cac5c7992.json', 'country': 'Somalia', 'bounding_box': {'coordinates': [[[40.9886682, -1.6603619], [51.4154958, -1.6603619], [51.4154958, 11.9880685], [40.9886682, 11.9880685]]], 'type': 'Polygon'}, 'contained_within': [], 'place_type': 'country', 'country_code': 'SO', 'full_name': 'Somalia', 'name': 'Somalia', 'attributes': {}, 'id': '2e09439cac5c7992'}",0,#TurkishAirlines  supper partner https://t.co/T3sm90h3Si,Sun Mar 11 08:20:12 +0000 2018,"['turkishairlines', 'supper', 'partner']",user_tweet,[],[],Abdikarin Dahir Abdirahman,248,54,219,3340732690,Somalia,catooshka8,78,Mon Jun 22 06:32:35 +0000 2015,0.08062820881605148,neutral
,0,,[],972747218724839424,tr,,0,@TurkishAirlines müdavimi bir adamı kendisinden soğutmak için uğraşan bir müşteri ilişkileri. Saçma sapan hatalar y… https://t.co/KHWuVThciq,Sun Mar 11 08:13:04 +0000 2018,[],user_tweet,[18909186],['TurkishAirlines'],Ahmet Ferruh Öncü,184,1014,710,111905427,London,ahmetferruh,907,Sat Feb 06 15:03:18 +0000 2010,0.3267499804496765,positive
Fly amp discover the colors of the sky TurkishAirlines,0,,['TurkishAirlines'],972744803367706624,en,,0,"✈️
Fly &amp; discover the colors of the sky. 

#TurkishAirlines https://t.co/6HLgYNeJLs",Sun Mar 11 08:03:28 +0000 2018,"['fly', 'discover', 'colors', 'sky', 'turkishairlines']",user_tweet,[],[],G. Ashley Hawkins,1,2706,3561,808256469229572096,"New York, NY",g_ashleyhawkins,106132,Mon Dec 12 10:25:33 +0000 2016,0.4482782781124115,positive
